Name,URL,Designation2,Designation1,Company,Designation3,Locations
"Manoj Prakash - Amarox Ltd (Hetero Drugs)
linkedin.com
https://uk.linkedin.com › ...",https://uk.linkedin.com/in/manoj-prakash-61966a39,NULL,HETERO DRUGS,Amarox Ltd (Hetero Drugs),Sr VP Business Operations and Business evelopment,United Kingdom
"Giriwar kumar pathak pathak - VP - Appletherapeutics
linkedin.com
https://in.linkedin.com › ...",https://in.linkedin.com/in/giriwar-kumar-pathak-pathak-152464a0,NULL,Hetero Drugs,Appletherapeutics,VP,"South Delhi, Delhi, India"
